Subject,Mean_Fit_Error_mm,Mean_Skin_Thickness_mm,Mean_Bone_Thickness_mm,Mean_CSF_Thickness_mm,Mean_GM_Thickness_mm
110411,10.2862434507982,9.74485887217441,6.98886477546432,12.2887207618318,2.97084546348621
117122,9.73483637071714,9.71953657751887,6.38906018646753,12.5646447571372,3.09670871926751
120111,10.1085544456523,7.85589613757753,6.84342313984015,12.6133887304541,2.89739503671657
122620,5.98787862786858,9.36310811942924,6.74871793091812,13.2901128409909,3.29807781811226
124422,11.1474420210947,11.3731033102285,6.76663857794742,13.2807447921759,3.12534362087386
128632,8.04668155802275,9.61731440469991,7.24950116703861,13.1149525747379,3.02871717394952
130013,7.10682219909072,10.062506099964,5.48256374106026,13.2689294487963,3.06385298635423
131722,9.70766088871303,8.36003603994443,8.14921505801007,12.2311264304779,3.05222063248143
138534,10.1702508399491,11.0440032195185,8.877169517485,12.5666151291189,3.0092991987146
149337,7.40628535914557,10.1541907740359,6.68305625517445,13.2121059554537,2.94652955172392
149539,6.05501174213236,11.2827465893701,6.1527755453946,12.7545967167792,3.13807194947655
151627,5.56725095461277,10.9878182925703,6.66092769429561,12.6035826956566,3.24193778901515
160123,7.07926040286703,11.5303929474768,6.58661582771617,12.7688336553969,2.87294141666683
198451,7.41431246617585,10.4778610420571,6.29433378632904,12.9406055853937,2.96354247581205
